student_id,exercise_id,is_correct,spent_time
3,12,True,607
35,12,True,491
28,12,False,717
14,12,True,711
32,12,False,731
26,12,True,687
37,12,False,792
27,12,True,842
1,12,True,798
47,12,False,835
23,14,True,888
36,12,False,858
32,12,True,866
37,12,False,997
4,12,False,981
3,14,True,1011
55,12,False,978
42,12,False,977
36,12,False,1045
28,12,False,1061
47,12,False,1069
29,12,True,1067
35,14,False,966
20,12,False,1029
18,12,True,1148
39,12,True,1118
22,12,True,1121
19,14,False,1087
49,12,False,1149
55,12,True,1121
48,12,False,1209
23,10,True,1195
38,12,True,1174
10,12,True,1166
37,12,False,1205
1,14,True,1182
24,14,True,1182
26,14,True,1142
44,12,True,1222
34,12,False,1217
47,12,False,1234
50,12,True,1287
30,12,True,1219
42,12,False,1219
5,14,False,381
23,13,True,1308
38,10,True,1282
3,10,True,1293
49,12,False,1294
7,12,False,1317
27,14,True,1354
47,12,False,1325
30,14,False,1295
34,12,False,1381
14,14,True,1379
25,12,False,1459
37,12,True,1435
20,12,True,1381
26,10,False,1391
11,12,True,1545
32,14,True,1483
23,11,True,1539
35,10,True,1394
49,12,True,1539
27,10,True,1589
9,12,True,1119
15,14,True,1514
24,10,True,1542
3,13,True,1588
4,12,False,1590
30,10,False,1555
47,12,True,1603
38,14,True,1642
28,12,False,1645
51,12,False,1698
28,12,False,1753
27,13,True,1803
30,10,False,1722
26,13,True,1708
34,12,True,1781
26,10,False,1719
44,14,True,1801
24,13,True,1776
42,12,True,1752
1,10,False,1804
29,14,True,1802
38,13,True,1816
2,12,False,1719
0,12,True,1784
36,12,True,1828
32,10,True,1831
14,10,False,1850
51,12,False,1849
13,12,False,1809
46,12,False,1906
19,10,True,1862
35,13,True,1805
13,12,False,1854
28,12,True,1957
15,10,False,1916
26,10,True,1899
10,14,True,1958
56,12,False,2017
55,14,True,1937
58,12,False,1895
23,15,True,2006
50,14,True,2030
39,14,True,2050
16,12,False,1606
30,14,True,2027
51,12,False,2039
40,12,False,2011
3,11,True,2098
38,11,True,2129
49,14,True,2143
11,14,True,2213
30,10,False,2121
44,10,False,2183
27,11,True,2229
24,11,True,2166
32,13,True,2172
12,12,False,1317
37,14,True,2241
51,12,False,2196
1,10,False,2238
4,12,True,2282
