year,community_letter,community,is_pseudocommunity,n_students,student_ids,n_students_with_solved_exercises,n_solved_exercises,solved_exercise_ids,mean_ns_solved_exercises,std_ns_solved_exercises,mean_ns_students_solved_each_exercise,std_ns_students_solved_each_exercise,mean_means_edge_weights,std_means_edge_weights,n_tried_exercises,tried_exercise_ids,mean_ns_tried_exercises,std_ns_tried_exercises,n_attemps,mean_ns_attemps,std_ns_attemps,n_correct_attemps,mean_ns_correct_attemps,std_ns_correct_attemps,mean_ps_correct_attemps_min_one,std_ps_correct_attemps_min_one,mean_mean_solving_times,std_mean_solving_times
2022,B,0,False,15,"[0, 4, 7, 8, 17, 20, 22, 27, 28, 32, 35, 40, 45, 49, 50]",15,48,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 71, 72, 73, 74]","40,733333333333334","4,202644669993196","12,729166666666666","2,963244163450292","34,67591484802321","3,073395055038176",10,"[37, 72, 40, 44, 45, 46, 20, 21, 22, 59]","0,9333333333333333","0,9285592184789412",923,"61,53333333333333","12,991621231479243",611,"40,733333333333334","4,202644669993196","0,6846355900903212","0,1267819669584341","16,05558093907085","2,4173254103612245"
2022,C,3,True,11,"[1, 2, 5, 12, 14, 26, 36, 41, 44, 48, 52]",11,36,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 18, 20, 21, 22, 24, 31, 35, 38, 39, 41, 42, 43, 44, 45, 47, 49, 54, 55, 56, 63, 71, 73, 74]","12,181818181818182","5,843694065450254","3,7222222222222223","2,0764701767811955","0,0","0,0",18,"[1, 5, 38, 7, 71, 9, 10, 43, 44, 13, 14, 15, 73, 41, 20, 54, 55, 63]","1,9090909090909092","1,8807418968706546",241,"21,90909090909091","11,973110368689769",134,"12,181818181818182","5,843694065450254","0,5849984727767128","0,15532050917990753","28,74605232537748","12,006428051878588"
2022,D,1,False,10,"[3, 6, 11, 13, 18, 30, 33, 37, 38, 54]",10,43,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 24, 31, 35, 38, 39, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 59, 60, 61, 62, 63, 71, 73, 74]","30,6","1,9595917942265424","7,116279069767442","2,854692606150168","26,45125816993464","2,319814952956767",13,"[64, 3, 8, 73, 42, 41, 10, 14, 15, 20, 22, 56, 61]","1,5","0,9219544457292888",433,"43,3","3,7429934544425802",306,"30,6","1,9595917942265424","0,7108524314908788","0,06573847545081281","21,371138631017896","2,4598936983435715"
2023,A,2,False,14,"[2, 3, 10, 11, 19, 23, 24, 26, 27, 28, 35, 38, 50, 54]",14,53,"[0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]","44,92857142857143","4,043765672776617","11,867924528301886","3,0532243139483146","39,5284644639355","2,9410731138099337",11,"[64, 65, 66, 67, 68, 37, 70, 13, 46, 17, 61]","1,2857142857142858","0,9583148474999098",880,"62,857142857142854","7,079720967636496",629,"44,92857142857143","4,043765672776617","0,7232167461322332","0,09575509001861322","14,479897560600723","2,547427442795254"
2023,B,3,False,14,"[0, 1, 4, 5, 9, 15, 22, 29, 32, 43, 44, 46, 47, 58]",13,44,"[0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 31, 32, 33, 34, 35, 36, 38, 39, 41, 42, 43, 44, 45, 47, 60, 61, 62, 63, 65, 68, 69, 71, 73, 74]","23,714285714285715","6,922309394048981","7,545454545454546","4,29298871022458","19,84210016174302","5,834181245583343",19,"[10, 11, 13, 14, 15, 18, 19, 22, 32, 33, 34, 40, 42, 44, 61, 63, 65, 68, 73]","2,0","2,0701966780270626",545,"38,92857142857143","11,683103096317504",332,"23,714285714285715","6,922309394048981","0,5823523183049379","0,1924418572035219","21,419095138078646","4,048060704763034"
2023,C,6,True,13,"[7, 8, 13, 20, 25, 31, 40, 45, 55, 56, 57, 59, 60]",13,47,"[0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33, 34, 35, 36, 38, 39, 41, 42, 43, 44, 45, 46, 47, 60, 61, 62, 63, 64, 66, 68, 69, 71, 73, 74]","11,692307692307692","7,193850101992731","3,234042553191489","2,5450223922222426","0,0","0,0",20,"[2, 4, 12, 14, 16, 18, 20, 23, 25, 34, 36, 37, 40, 41, 61, 62, 65, 67, 69, 73]","2,769230769230769","1,8040060614705498",303,"23,307692307692307","10,730148865442464",152,"11,692307692307692","7,193850101992731","0,4912333766165035","0,14260419009942318","38,75096204721205","19,474108310624484"
2023,D,4,False,11,"[14, 17, 18, 30, 36, 37, 39, 41, 42, 48, 49]",11,47,"[0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 60, 61, 62, 63, 65, 68, 69, 71, 73, 74]","34,81818181818182","2,442732516826255","8,148936170212766","3,0315975944457345","30,245392147724683","2,701898925832123",13,"[65, 66, 33, 68, 42, 46, 17, 18, 19, 20, 21, 22, 23]","1,8181818181818181","1,6414063713879807",646,"58,72727272727273","8,203002876894967",383,"34,81818181818182","2,442732516826255","0,6062141797887279","0,10448127730288721","19,02332190367449","2,779837360946228"
2023,E,1,False,4,"[16, 33, 34, 51]",4,25,"[0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 18, 20, 25, 31, 34, 35, 38, 39, 43, 47, 62, 63, 65, 69, 73]","15,75","0,82915619758885","2,52","1,2687001221722964","12,625","0,414578098794425",4,"[73, 41, 18, 14]","1,25","0,82915619758885",105,"26,25","5,717298313014636",63,"15,75","0,82915619758885","0,6255918093584787","0,1217362331601532","35,31518382352941","2,4981519361536466"
2023,F,0,False,2,"[6, 12]",2,37,"[10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 60, 61, 62, 63, 65, 69]","30,5","1,5","1,6486486486486487","0,47739247926096473","25,666666666666664","1,666666666666666",9,"[65, 68, 11, 13, 15, 17, 20, 25, 63]","4,5","2,5",88,"44,0","4,0",61,"30,5","1,5","0,7020833333333334","0,09791666666666671","15,434473778735631","4,6287446120689655"
2023,G,5,False,2,"[21, 52]",2,9,"[1, 2, 4, 38, 43, 12, 18, 20, 25]","7,5","0,5","1,6666666666666667","0,4714045207910317","6,0","0,0",3,"[10, 34, 63]","1,5","0,5",34,"17,0","4,0",15,"7,5","0,5","0,47435897435897434","0,14102564102564105","40,69508928571429","3,740327380952383"
